"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","143.75","135.75","145.00","135.75","965.87K","5.31%"
"02/21/2024","136.50","138.00","138.50","135.00","21.05K","-0.55%"
"02/20/2024","137.25","139.00","139.75","137.00","168.74K","-1.08%"
"02/19/2024","138.75","134.50","139.00","134.50","379.61K","2.40%"
"02/16/2024","135.50","133.00","135.50","132.50","709.52K","1.88%"
"02/15/2024","133.00","133.00","133.50","132.50","264.48K","0.00%"
"02/14/2024","133.00","134.00","134.00","132.50","58.95K","0.00%"
"02/13/2024","133.00","132.25","136.50","132.25","231.31K","-1.12%"
"02/12/2024","134.50","130.00","135.00","129.00","712.45K","2.67%"
"02/09/2024","131.00","130.00","131.00","129.00","538.24K","0.77%"
"02/08/2024","130.00","129.50","131.00","129.50","374.25K","0.39%"
"02/07/2024","129.50","130.00","132.00","129.00","191.30K","-0.38%"
"02/06/2024","130.00","130.50","132.00","129.50","280.66K","-1.14%"
"02/02/2024","131.50","130.50","132.25","129.75","487.32K","0.57%"
"02/01/2024","130.75","130.50","132.25","130.00","234.13K","-0.19%"
"01/31/2024","131.00","132.50","132.50","130.50","236.54K","-1.50%"
"01/30/2024","133.00","131.00","134.50","131.00","382.26K","0.76%"
"01/29/2024","132.00","131.25","132.00","128.75","659.08K","-0.75%"
"01/26/2024","133.00","133.00","135.50","131.00","239.18K","0.00%"
"01/24/2024","133.00","135.00","135.00","132.75","313.31K","-0.75%"
"01/23/2024","134.00","136.00","136.00","133.00","191.79K","-1.11%"
"01/22/2024","135.50","137.00","138.75","135.50","120.46K","-1.28%"
"01/19/2024","137.25","139.00","139.50","137.00","132.00K","-0.54%"
"01/18/2024","138.00","138.00","140.00","137.00","116.46K","-0.54%"
"01/17/2024","138.75","142.00","142.00","136.50","278.58K","-1.60%"
"01/16/2024","141.00","143.00","144.00","140.25","159.87K","-0.88%"
"01/12/2024","142.25","140.50","143.00","140.50","213.96K","0.35%"
"01/11/2024","141.75","141.25","143.00","141.00","79.26K","-0.18%"
"01/10/2024","142.00","144.00","144.00","141.50","20.14K","-1.39%"
"01/09/2024","144.00","145.00","145.00","142.50","51.67K","-0.69%"
"01/08/2024","145.00","143.00","147.25","142.25","524.98K","1.75%"
"01/05/2024","142.50","142.00","144.00","140.25","222.84K","0.35%"
"01/04/2024","142.00","139.75","142.00","139.00","224.01K","1.61%"
"01/03/2024","139.75","142.00","143.00","139.75","170.37K","-1.06%"
"01/02/2024","141.25","144.00","144.00","141.00","202.75K","-1.57%"
"12/29/2023","143.50","143.00","144.00","142.50","293.76K","0.35%"
"12/28/2023","143.00","143.00","144.00","141.50","107.25K","0.00%"
"12/27/2023","143.00","146.50","146.50","143.00","149.38K","0.00%"
"12/22/2023","143.00","141.50","145.25","141.00","334.00K","1.42%"
"12/21/2023","141.00","141.00","141.00","139.00","202.09K","1.44%"
"12/20/2023","139.00","139.75","141.75","138.00","339.86K","0.54%"
"12/19/2023","138.25","136.00","139.75","136.00","317.73K","0.00%"
"12/18/2023","138.25","140.00","140.00","135.00","298.54K","-1.25%"
"12/15/2023","140.00","144.00","145.75","140.00","347.72K","-2.78%"
"12/14/2023","144.00","146.00","146.00","143.50","101.02K","-1.87%"
"12/13/2023","146.75","146.00","147.00","143.00","525.85K","1.21%"
"12/12/2023","145.00","151.75","152.00","142.25","600.43K","-3.97%"
"12/11/2023","151.00","140.75","151.25","139.50","1.19M","7.09%"
"12/08/2023","141.00","135.50","142.00","135.00","1.49M","4.25%"
"12/07/2023","135.25","132.00","135.25","131.25","352.72K","2.27%"
"12/06/2023","132.25","131.50","133.00","131.00","326.14K","0.38%"
"12/05/2023","131.75","132.00","132.00","130.25","334.68K","-0.19%"
"12/04/2023","132.00","132.00","134.50","130.50","73.82K","-0.56%"
"12/01/2023","132.75","130.50","133.00","130.25","361.16K","1.34%"
"11/30/2023","131.00","131.50","131.75","130.00","1.66M","-0.57%"
"11/29/2023","131.75","127.25","132.00","127.25","897.23K","3.54%"
"11/28/2023","127.25","129.00","130.00","127.00","435.37K","-1.55%"
"11/27/2023","129.25","127.00","129.50","127.00","368.41K","0.19%"
"11/24/2023","129.00","130.00","130.00","127.00","154.96K","-0.77%"
"11/23/2023","130.00","127.00","130.00","127.00","64.28K","0.00%"
"11/22/2023","130.00","127.00","130.00","126.75","32.87K","0.78%"
"11/21/2023","129.00","131.00","131.00","126.00","41.72K","-0.77%"
"11/20/2023","130.00","132.00","132.00","130.00","179.99K","-1.89%"
"11/17/2023","132.50","132.75","133.00","130.00","15.03K","1.73%"
"11/16/2023","130.25","130.25","133.50","130.00","439.03K","-0.95%"
"11/15/2023","131.50","131.00","133.00","130.00","1.82M","1.15%"
"11/14/2023","130.00","130.00","131.00","130.00","139.98K","-0.38%"
"11/13/2023","130.50","130.00","131.00","130.00","90.03K","0.38%"
"11/10/2023","130.00","130.50","131.00","130.00","121.89K","-0.38%"
"11/09/2023","130.50","131.00","132.00","129.00","1.34M","-0.38%"
"11/08/2023","131.00","133.00","133.00","130.00","103.71K","-0.38%"
"11/07/2023","131.50","132.50","132.50","129.75","1.41M","-0.75%"
"11/06/2023","132.50","128.50","135.00","128.50","66.81K","1.15%"
"11/03/2023","131.00","131.00","132.00","130.00","174.51K","-0.76%"
"11/02/2023","132.00","129.00","136.00","128.50","769.68K","2.52%"
"11/01/2023","128.75","126.00","129.25","126.00","100.69K","0.98%"
"10/31/2023","127.50","129.25","129.25","126.00","107.52K","-0.39%"
"10/30/2023","128.00","125.25","129.00","125.25","220.69K","0.39%"
"10/27/2023","127.50","126.00","131.00","125.00","314.90K","1.39%"
"10/26/2023","125.75","126.75","126.75","124.50","214.79K","-0.98%"
"10/25/2023","127.00","126.25","127.00","124.00","101.48K","0.59%"
"10/24/2023","126.25","126.75","126.75","125.00","70.10K","-0.39%"
"10/23/2023","126.75","127.00","127.00","126.00","142.04K","0.20%"
"10/20/2023","126.50","126.00","127.75","125.00","108.51K","0.60%"
"10/19/2023","125.75","127.00","129.00","120.00","294.81K","-1.57%"
"10/18/2023","127.75","128.50","130.00","127.00","24.30K","-1.92%"
"10/17/2023","130.25","130.00","130.50","128.00","370.59K","-0.57%"
"10/16/2023","131.00","130.00","131.00","128.50","204.10K","0.38%"
"10/13/2023","130.50","130.00","131.00","126.00","119.94K","1.56%"
"10/12/2023","128.50","125.00","130.00","123.00","68.32K","2.80%"
"10/11/2023","125.00","124.00","126.00","124.00","469.83K","0.00%"
"10/10/2023","125.00","124.50","129.00","124.50","78.92K","0.40%"
"10/09/2023","124.50","130.00","130.00","122.50","344.69K","-4.23%"
"10/06/2023","130.00","130.00","130.75","129.50","87.61K","0.00%"
"10/05/2023","130.00","132.00","132.75","129.25","127.35K","-0.95%"
"10/04/2023","131.25","130.00","135.00","130.00","23.62K","-0.57%"
"10/03/2023","132.00","135.00","135.00","130.00","172.56K","-2.22%"
"10/02/2023","135.00","135.50","136.75","134.25","54.54K","-0.74%"
"09/27/2023","136.00","135.00","137.00","135.00","35.89K","-0.37%"
"09/26/2023","136.50","135.25","138.00","135.00","177.39K","-1.09%"
"09/25/2023","138.00","140.00","140.00","136.00","36.41K","-0.36%"
"09/22/2023","138.50","138.50","140.00","138.00","87.16K","-0.18%"
"09/21/2023","138.75","138.25","140.00","137.00","56.68K","0.18%"
"09/20/2023","138.50","139.50","142.25","138.00","163.53K","-1.07%"
"09/19/2023","140.00","141.00","141.75","139.25","126.95K","-0.71%"
"09/18/2023","141.00","141.75","141.75","139.50","290.73K","-0.53%"
"09/15/2023","141.75","141.50","144.50","140.25","310.64K","0.18%"
"09/14/2023","141.50","139.25","142.00","139.00","202.55K","1.62%"
"09/13/2023","139.25","138.50","140.25","138.50","134.38K","0.00%"
"09/12/2023","139.25","139.00","140.25","138.00","134.50K","-0.54%"
"09/11/2023","140.00","142.50","142.50","138.50","107.11K","-1.58%"
"09/08/2023","142.25","138.00","142.75","138.00","125.58K","2.15%"
"09/07/2023","139.25","140.00","140.00","138.00","58.37K","-0.36%"
"09/06/2023","139.75","140.00","140.00","138.00","153.97K","-0.18%"
"09/05/2023","140.00","141.00","141.00","139.00","130.65K","-0.71%"
"09/04/2023","141.00","139.00","142.00","136.50","257.45K","2.36%"
"09/01/2023","137.75","137.75","139.25","137.50","24.87K","-0.90%"
"08/31/2023","139.00","137.00","139.75","136.25","82.43K","1.46%"
"08/29/2023","137.00","136.50","137.50","135.75","95.67K","0.55%"
"08/28/2023","136.25","138.75","139.00","136.00","133.72K","-1.98%"
"08/25/2023","139.00","138.75","140.00","138.00","152.59K","0.00%"
"08/24/2023","139.00","141.00","143.75","138.75","147.28K","-0.71%"
"08/23/2023","140.00","139.00","142.50","139.00","131.53K","0.00%"
"08/22/2023","140.00","141.75","142.00","139.00","323.19K","-1.41%"
"08/21/2023","142.00","146.00","146.50","140.75","211.94K","-3.73%"
"08/18/2023","147.50","147.50","149.75","146.00","346.55K","-1.01%"
"08/17/2023","149.00","146.00","150.50","146.00","385.11K","2.05%"
"08/16/2023","146.00","144.50","147.00","144.50","287.18K","0.69%"
"08/15/2023","145.00","145.50","146.50","144.00","252.61K","-0.51%"
"08/14/2023","145.75","146.75","147.00","144.50","167.55K","0.17%"
"08/11/2023","145.50","146.50","148.00","145.00","261.25K","-0.68%"
"08/10/2023","146.50","146.25","148.50","145.00","190.63K","0.34%"
"08/09/2023","146.00","147.00","147.50","144.25","213.74K","-0.68%"
"08/08/2023","147.00","146.50","148.75","145.00","215.58K","0.17%"
"08/07/2023","146.75","151.75","152.00","146.75","506.39K","-2.98%"
"08/04/2023","151.25","152.25","153.00","150.50","820.72K","-0.33%"
"08/03/2023","151.75","148.00","152.25","146.25","1.95M","2.36%"
"08/02/2023","148.25","152.00","154.75","147.75","890.13K","-1.50%"
"07/31/2023","150.50","136.00","151.25","134.25","2.65M","7.31%"
"07/28/2023","140.25","142.25","145.00","137.00","1.58M","-2.60%"
"07/27/2023","144.00","143.00","145.00","141.75","784.12K","0.70%"
"07/26/2023","143.00","146.00","146.00","142.00","131.56K","-0.87%"
"07/25/2023","144.25","145.00","146.50","140.00","209.06K","-0.52%"
"07/24/2023","145.00","147.00","147.00","143.00","144.50K","-1.69%"
"07/21/2023","147.50","147.00","148.50","146.00","270.43K","0.34%"
"07/20/2023","147.00","143.00","147.25","143.00","937.30K","5.00%"
"07/19/2023","140.00","141.25","142.00","137.00","429.53K","-1.93%"
"07/18/2023","142.75","145.50","145.50","141.00","146.65K","-1.72%"
"07/17/2023","145.25","144.75","146.50","143.00","322.68K","0.87%"
"07/14/2023","144.00","142.00","146.00","141.00","467.48K","1.41%"
"07/13/2023","142.00","142.00","142.00","140.00","491.86K","0.35%"
"07/12/2023","141.50","141.75","144.00","140.50","432.62K","-0.18%"
"07/11/2023","141.75","142.00","143.50","140.25","239.34K","0.53%"
"07/10/2023","141.00","143.50","145.75","140.50","271.46K","-2.08%"
"07/07/2023","144.00","145.00","146.00","141.00","279.83K","-0.69%"
"07/06/2023","145.00","146.75","149.75","144.50","309.66K","-0.85%"
"07/05/2023","146.25","143.50","150.75","143.50","1.30M","2.99%"
"07/04/2023","142.00","135.50","144.00","133.50","763.13K","7.58%"
"06/28/2023","132.00","133.75","133.75","131.00","122.45K","-0.38%"
"06/27/2023","132.50","133.00","134.00","131.75","321.68K","-0.93%"
"06/26/2023","133.75","135.00","135.00","131.25","113.49K","-0.93%"
"06/23/2023","135.00","135.50","136.75","134.75","207.94K","-0.37%"
"06/22/2023","135.50","131.00","136.50","131.00","387.03K","3.44%"
"06/21/2023","131.00","134.50","134.50","130.75","146.88K","-0.76%"
"06/20/2023","132.00","133.00","133.50","131.00","261.12K","-0.75%"
"06/19/2023","133.00","135.25","136.50","130.25","89.30K","-1.85%"
"06/16/2023","135.50","136.00","138.00","135.00","92.60K","-1.09%"
"06/15/2023","137.00","139.00","139.00","136.50","103.43K","-0.72%"
"06/14/2023","138.00","137.00","140.25","135.00","258.92K","0.73%"
"06/13/2023","137.00","132.75","138.25","132.25","249.28K","3.79%"
"06/12/2023","132.00","129.25","132.00","127.75","224.95K","1.54%"
"06/09/2023","130.00","130.50","131.00","129.25","173.09K","-0.76%"
"06/08/2023","131.00","130.50","131.50","128.75","112.04K","0.19%"
"06/07/2023","130.75","131.25","133.00","130.00","380.37K","-0.38%"
"06/06/2023","131.25","134.50","135.00","131.25","238.48K","-2.78%"
"06/05/2023","135.00","137.50","137.50","134.00","87.09K","-0.37%"
"06/02/2023","135.50","140.00","140.00","135.25","82.64K","-1.09%"
"06/01/2023","137.00","135.00","140.00","135.00","345.27K","3.01%"
"05/31/2023","133.00","135.50","136.50","132.25","123.53K","-1.66%"
"05/30/2023","135.25","134.00","135.25","132.75","172.16K","0.37%"
"05/29/2023","134.75","138.00","141.00","133.75","382.86K","-3.06%"
"05/26/2023","139.00","141.00","141.75","138.00","92.64K","-0.36%"
"05/25/2023","139.50","144.75","145.00","139.50","140.46K","-2.96%"
"05/24/2023","143.75","137.00","144.00","136.00","548.84K","5.89%"
"05/23/2023","135.75","136.50","139.50","135.00","285.46K","-0.18%"
"05/22/2023","136.00","142.00","142.00","136.00","226.27K","-3.37%"
"05/19/2023","140.75","143.00","143.50","140.50","159.75K","-2.09%"
"05/18/2023","143.75","146.75","148.00","143.00","110.29K","-2.04%"
"05/17/2023","146.75","146.00","150.00","144.00","407.64K","0.17%"
"05/16/2023","146.50","149.00","149.00","145.00","308.90K","-1.68%"
"05/15/2023","149.00","150.00","152.00","148.75","1.14M","-1.81%"
"05/12/2023","151.75","152.00","154.75","149.00","1.10M","-0.65%"
"05/11/2023","152.75","158.00","158.00","152.50","117.35K","-2.24%"
"05/10/2023","156.25","158.75","160.00","156.00","45.85K","-1.26%"
"05/09/2023","158.25","157.75","162.50","155.00","754.99K","0.48%"
"05/08/2023","157.50","152.00","158.00","151.50","544.49K","1.61%"
"05/04/2023","155.00","155.00","157.00","152.00","134.55K","0.81%"
"05/03/2023","153.75","150.25","154.50","148.00","298.13K","1.49%"
"05/02/2023","151.50","156.00","158.00","146.50","1.25M","-6.19%"
"04/28/2023","161.50","156.00","166.00","155.00","796.25K","2.87%"
"04/27/2023","157.00","157.50","161.00","154.00","382.10K","-0.48%"
"04/26/2023","157.75","162.00","164.00","157.50","236.87K","-2.47%"
"04/25/2023","161.75","162.75","163.00","157.00","341.81K","-0.15%"
"04/24/2023","162.00","167.50","167.50","161.75","208.76K","-2.41%"
"04/21/2023","166.00","170.00","170.00","165.00","268.44K","-1.48%"
"04/20/2023","168.50","165.00","171.75","164.00","490.49K","1.51%"
"04/19/2023","166.00","173.00","174.50","165.00","695.74K","-4.32%"
"04/18/2023","173.50","176.00","178.00","171.50","1.32M","-1.42%"
"04/17/2023","176.00","165.00","176.50","160.50","2.16M","7.32%"
"04/12/2023","164.00","168.00","169.50","162.25","695.63K","-2.38%"
"04/11/2023","168.00","167.75","171.50","160.00","1.85M","2.13%"
"04/10/2023","164.50","147.00","164.50","146.75","2.23M","11.53%"
"04/06/2023","147.50","143.25","147.75","140.50","247.08K","1.90%"
"04/04/2023","144.75","149.00","149.25","143.00","218.10K","-2.36%"
"04/03/2023","148.25","140.00","150.50","140.00","1.30M","7.43%"
"03/31/2023","138.00","135.00","139.50","133.00","605.18K","5.75%"
"03/30/2023","130.50","132.50","134.00","130.25","101.56K","0.38%"
"03/29/2023","130.00","130.75","134.75","130.00","515.70K","-1.52%"
"03/28/2023","132.00","131.50","132.00","128.25","660.52K","0.00%"
"03/27/2023","132.00","139.00","139.00","131.50","251.69K","-2.94%"
"03/24/2023","136.00","136.00","139.50","135.00","263.21K","-0.55%"
"03/23/2023","136.75","138.25","140.00","136.00","181.52K","-1.08%"
"03/22/2023","138.25","136.00","141.00","132.00","716.66K","2.41%"
"03/21/2023","135.00","144.00","144.00","134.00","868.57K","-4.93%"
"03/20/2023","142.00","145.00","145.00","141.50","420.13K","-0.70%"
"03/17/2023","143.00","144.50","146.00","142.75","168.25K","-0.35%"
"03/16/2023","143.50","147.00","150.50","143.00","435.92K","-2.05%"
"03/15/2023","146.50","149.00","149.50","145.25","208.57K","-0.68%"
"03/14/2023","147.50","149.00","150.00","146.50","285.80K","0.68%"
"03/13/2023","146.50","150.00","150.00","145.75","431.47K","-2.17%"
"03/10/2023","149.75","151.25","154.00","149.00","264.36K","-1.32%"
"03/09/2023","151.75","152.00","155.00","150.25","156.64K","0.00%"
"03/08/2023","151.75","150.00","158.00","147.00","885.03K","1.17%"
"03/07/2023","150.00","163.00","163.00","147.00","2.42M","-8.81%"
"03/03/2023","164.50","174.00","174.00","164.50","1.25M","-6.00%"
"03/02/2023","175.00","177.00","179.00","174.00","268.99K","-0.71%"
"03/01/2023","176.25","178.75","180.00","176.25","287.86K","-0.70%"
"02/28/2023","177.50","181.00","182.00","177.25","543.11K","-1.39%"
"02/27/2023","180.00","177.75","183.75","176.00","999.48K","1.98%"
"02/24/2023","176.50","177.75","178.00","174.50","265.24K","0.00%"
"02/23/2023","176.50","173.00","178.00","170.25","208.13K","2.47%"
"02/22/2023","172.25","176.50","179.00","172.25","389.42K","-2.41%"
"02/21/2023","176.50","175.50","177.50","173.00","213.06K","-0.84%"
"02/20/2023","178.00","174.00","179.75","174.00","128.57K","1.71%"
"02/17/2023","175.00","178.50","179.75","174.00","250.91K","-1.96%"
"02/16/2023","178.50","180.50","182.25","175.00","832.28K","0.28%"
"02/15/2023","178.00","174.25","178.75","171.00","744.73K","1.86%"
"02/14/2023","174.75","178.00","178.00","169.75","817.57K","-0.57%"
"02/13/2023","175.75","185.50","185.50","175.00","803.69K","-5.26%"
"02/10/2023","185.50","184.75","187.25","182.75","310.71K","0.54%"
"02/09/2023","184.50","187.00","189.00","183.75","549.14K","-1.86%"
"02/08/2023","188.00","189.00","190.00","187.00","382.17K","-1.05%"
"02/07/2023","190.00","194.00","194.00","189.00","664.46K","-2.19%"
"02/06/2023","194.25","191.50","195.50","191.00","1.49M","1.30%"
"02/03/2023","191.75","190.50","193.00","190.00","921.64K","0.66%"
"02/02/2023","190.50","195.75","196.00","190.00","355.74K","-1.80%"
"02/01/2023","194.00","185.50","196.00","185.00","806.51K","4.30%"
"01/31/2023","186.00","184.50","188.00","183.00","308.30K","0.40%"
"01/30/2023","185.25","177.00","186.75","171.00","1.40M","-2.76%"
"01/27/2023","190.50","188.00","196.75","185.25","1.46M","0.40%"
"01/26/2023","189.75","191.25","191.25","185.00","289.84K","-1.17%"
"01/25/2023","192.00","196.00","196.50","189.00","574.94K","-2.04%"
"01/24/2023","196.00","198.50","199.50","193.50","412.17K","-1.26%"
"01/23/2023","198.50","200.00","204.00","197.00","558.52K","-0.25%"
"01/20/2023","199.00","190.25","200.00","189.00","1.12M","4.60%"
"01/19/2023","190.25","194.00","194.00","185.25","222.12K","0.66%"
"01/18/2023","189.00","194.00","194.50","185.00","457.20K","-0.53%"
"01/17/2023","190.00","173.00","195.00","172.00","811.78K","10.47%"
"01/13/2023","172.00","172.00","173.00","170.25","286.40K","-0.58%"
"01/12/2023","173.00","172.00","173.00","169.50","391.53K","0.58%"
"01/11/2023","172.00","171.50","172.00","169.00","206.99K","0.15%"
"01/10/2023","171.75","170.25","174.50","170.00","283.16K","0.73%"
"01/09/2023","170.50","173.50","173.50","168.00","483.19K","-1.73%"
"01/05/2023","173.50","177.75","177.75","170.25","237.61K","-2.53%"
"01/04/2023","178.00","181.00","181.00","177.00","271.45K","-1.93%"
"01/03/2023","181.50","186.25","186.25","181.00","528.52K","-2.02%"
